<empty>;ask something;
how are you;Im fine, thanks;good;
cool;yeah!;Yes cool;nice;
hi;hi there;hello;good day;
bye;see you;nice to meet you;
how much;I am completely free! See more scripts at webta.net;
who are you;i am ChatBot v1;
admin;you can access admin interface <a href=admin.php>here</a>;
password login;login and password for admin interface are: admin admin;
hello;hi there;good day;
thank;You are welcome;
i love you;i love you too;love you;
lol;Laugh out load;Hahaha;
ok;ok;good;fine;
i like you;thank you;i like you too;
